,result,decision,ageDiff,weightDiff,heightDiff,reachDiff,total_bouts_A,total_bouts_B,KoPercent_A,KoPercent_B,WinPercent_A,WinPercent_B,LossPercent_A,LossPercent_B,DrawPercent_A,DrawPercent_B
307006,win_A,UD,-4.0,-3.0,5.0,-3.0,23,49,52.17391304347826,53.06122448979592,86.95652173913044,89.79591836734694,13.043478260869565,10.204081632653061,0.0,0.0
307012,win_A,SD,6.0,2.0,8.0,18.0,43,26,53.48837209302325,73.07692307692307,90.69767441860465,96.15384615384616,9.30232558139535,3.8461538461538463,0.0,0.0
307013,win_A,UD,0.0,-1.0,2.0,-3.0,34,42,38.23529411764706,54.761904761904766,85.29411764705883,92.85714285714286,14.705882352941178,7.142857142857142,0.0,0.0
307014,win_A,TKO,-2.0,-2.0,3.0,5.0,40,38,55.00000000000001,31.57894736842105,92.5,39.473684210526315,7.5,60.526315789473685,0.0,2.631578947368421
307016,win_A,TKO,0.0,1.0,7.0,12.0,37,21,54.054054054054056,28.57142857142857,91.8918918918919,95.23809523809523,8.108108108108109,4.761904761904762,0.0,0.0
307019,win_A,UD,-1.0,-1.0,2.0,-3.0,27,34,37.03703703703704,55.88235294117647,81.48148148148148,94.11764705882352,18.51851851851852,5.88235294117647,0.0,0.0
307024,win_A,UD,-8.0,0.0,1.0,13.0,28,30,64.28571428571429,26.666666666666668,96.42857142857143,90.0,3.571428571428571,10.0,0.0,3.3333333333333335
307591,win_A,UD,8.0,5.0,0.0,2.0,35,27,62.857142857142854,37.03703703703704,91.42857142857143,59.25925925925925,8.571428571428571,40.74074074074074,2.857142857142857,7.4074074074074066
307628,win_A,UD,8.0,1.0,14.0,-9.0,43,14,76.74418604651163,42.857142857142854,88.37209302325581,92.85714285714286,11.627906976744185,7.142857142857142,2.3255813953488373,14.285714285714285
308579,win_B,UD,5.0,0.0,-10.0,-25.0,42,23,57.14285714285714,47.82608695652174,90.47619047619048,91.30434782608695,9.523809523809524,8.695652173913043,4.761904761904762,8.695652173913043
308592,win_B,KO,5.0,2.0,3.0,11.0,68,26,85.29411764705883,65.38461538461539,86.76470588235294,96.15384615384616,13.23529411764706,3.8461538461538463,1.4705882352941175,3.8461538461538463
